"Story","Title","Result","Date","Stability","Duration (s)"
"Signin","Api signin success","SUCCESS","2022-02-21T00:41:30.694+07:00[Asia/Bangkok]","0.0","5.53"
"Signin Credentials","Get Credential","SUCCESS","2022-02-21T00:41:36.238+07:00[Asia/Bangkok]","0.0","1.7"
"Message Get","Message get","SUCCESS","2022-02-21T00:41:37.948+07:00[Asia/Bangkok]","0.0","3.42"
"Message Post","Message post","SUCCESS","2022-02-21T00:41:41.38+07:00[Asia/Bangkok]","0.0","2.33"
"Profile","Profile api","SUCCESS","2022-02-21T00:41:43.715+07:00[Asia/Bangkok]","0.0","2.87"
"Profile Career","Profile career","SUCCESS","2022-02-21T00:41:46.592+07:00[Asia/Bangkok]","0.0","1.61"
"Profile Education","Profile education","SUCCESS","2022-02-21T00:41:48.211+07:00[Asia/Bangkok]","0.0","1.52"
"Profile Me","Profile me","SUCCESS","2022-02-21T00:41:49.735+07:00[Asia/Bangkok]","0.0","1.31"
"OTP Request","Otp sending","SUCCESS","2022-02-21T00:41:52.419+07:00[Asia/Bangkok]","0.0","1.77"
"Upload Image Profile","Upload image profile","SUCCESS","2022-02-21T00:41:56.701+07:00[Asia/Bangkok]","0.0","1.64"
